datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-09-26 14:20:00,95.71,96.08,95.71,96.00,400955,0.54,-0.11,-0.13,0.02,18.36,95.89,49.28
2023-09-26 14:25:00,95.99,96.04,95.88,95.94,272628,0.49,-0.10,-0.12,0.02,17.49,95.90,47.77
2023-09-26 14:30:00,95.94,96.12,95.92,95.98,438880,0.56,-0.09,-0.12,0.03,16.27,95.92,48.88
2023-09-26 14:35:00,95.98,96.03,95.67,95.69,367555,0.20,-0.10,-0.11,0.01,16.22,95.87,41.28
2023-09-26 14:40:00,95.71,95.78,95.59,95.61,482789,0.15,-0.11,-0.11,-0.00,16.47,95.82,39.55
2023-09-26 14:45:00,95.60,95.75,95.54,95.70,449861,0.28,-0.12,-0.11,-0.00,16.88,95.80,42.48
2023-09-26 14:50:00,95.70,95.75,95.59,95.61,263191,0.17,-0.13,-0.12,-0.01,17.25,95.76,40.16
2023-09-26 14:55:00,95.59,95.78,95.55,95.75,328029,0.40,-0.12,-0.12,-0.00,17.76,95.76,45.25
2023-09-26 15:00:00,95.75,95.77,95.57,95.58,314100,0.17,-0.13,-0.12,-0.01,18.23,95.72,40.89
2023-09-26 15:05:00,95.58,95.70,95.56,95.65,296151,0.30,-0.12,-0.12,-0.00,18.71,95.71,43.40
2023-09-26 15:10:00,95.65,95.82,95.63,95.65,430984,0.32,-0.12,-0.12,-0.00,18.25,95.70,43.27
2023-09-26 15:15:00,95.66,95.68,95.42,95.50,440639,0.11,-0.13,-0.12,-0.01,18.80,95.66,39.36
2023-09-26 15:20:00,95.49,95.59,95.46,95.48,375648,0.11,-0.14,-0.13,-0.01,19.30,95.62,38.88
2023-09-26 15:25:00,95.48,95.52,95.34,95.43,590185,0.08,-0.15,-0.13,-0.02,20.26,95.58,37.59
2023-09-26 15:30:00,95.44,95.64,95.39,95.44,632653,0.14,-0.15,-0.13,-0.02,20.29,95.55,38.08
2023-09-26 15:35:00,95.45,95.57,95.40,95.49,457463,0.22,-0.15,-0.14,-0.01,20.32,95.54,40.39
2023-09-26 15:40:00,95.50,95.76,95.49,95.74,467628,0.58,-0.12,-0.13,0.01,19.11,95.58,50.00
2023-09-26 15:45:00,95.74,95.79,95.65,95.75,414717,0.62,-0.10,-0.13,0.03,17.83,95.61,50.53
2023-09-26 15:50:00,95.75,95.99,95.66,95.93,917347,0.87,-0.07,-0.12,0.05,17.55,95.68,56.64
2023-09-26 15:55:00,95.93,96.02,95.86,95.96,1214964,0.86,-0.04,-0.10,0.06,17.43,95.73,57.40
2023-09-27 09:30:00,96.82,97.25,96.46,96.57,1814466,1.32,0.03,-0.08,0.10,20.35,95.90,70.89
2023-09-27 09:35:00,96.60,97.18,96.35,96.96,1278549,1.30,0.12,-0.04,0.15,22.52,96.11,76.05
2023-09-27 09:40:00,96.97,97.48,96.77,97.47,1244052,1.28,0.22,0.01,0.21,24.95,96.38,80.92
2023-09-27 09:45:00,97.47,97.92,97.46,97.79,1506610,1.19,0.33,0.08,0.25,27.71,96.67,83.20
2023-09-27 09:50:00,97.80,98.35,97.55,98.12,1274091,1.13,0.44,0.15,0.29,30.64,96.96,85.18
2023-09-27 09:55:00,98.11,98.12,97.58,97.75,924031,0.94,0.48,0.22,0.27,33.36,97.12,74.62
2023-09-27 10:00:00,97.76,98.02,97.39,97.46,1131195,0.82,0.49,0.27,0.22,35.06,97.18,67.52
2023-09-27 10:05:00,97.48,97.56,97.11,97.17,886216,0.72,0.47,0.31,0.16,35.55,97.18,61.23
2023-09-27 10:10:00,97.18,97.35,96.98,97.29,947334,0.73,0.46,0.34,0.12,35.53,97.20,62.77
2023-09-27 10:15:00,97.27,97.73,97.11,97.67,899758,0.80,0.48,0.37,0.11,36.11,97.30,67.22
2023-09-27 10:20:00,97.70,98.15,97.70,98.08,964932,0.86,0.52,0.40,0.12,37.18,97.45,71.20
2023-09-27 10:25:00,98.09,98.39,97.90,98.36,1007233,0.88,0.56,0.43,0.13,38.43,97.63,73.55
2023-09-27 10:30:00,98.36,98.74,98.17,98.72,1349025,0.92,0.62,0.47,0.15,39.94,97.85,76.26
2023-09-27 10:35:00,98.72,98.75,98.08,98.10,982213,0.75,0.61,0.50,0.11,41.03,97.90,64.13
2023-09-27 10:40:00,98.11,98.11,97.88,98.01,711118,0.71,0.59,0.52,0.07,41.32,97.92,62.61
2023-09-27 10:45:00,98.02,98.48,97.90,98.30,961622,0.76,0.59,0.53,0.06,42.04,98.00,65.50
2023-09-27 10:50:00,98.29,98.30,97.68,97.75,809831,0.59,0.54,0.53,0.01,41.98,97.95,56.51
2023-09-27 10:55:00,97.75,97.80,97.57,97.71,501456,0.55,0.49,0.52,-0.03,41.57,97.90,55.97
2023-09-27 11:00:00,97.70,98.02,97.68,97.81,668651,0.56,0.45,0.51,-0.06,41.50,97.88,57.16
2023-09-27 11:05:00,97.82,98.44,97.78,98.44,696384,0.82,0.47,0.50,-0.03,41.97,97.99,63.95
2023-09-27 11:10:00,98.45,98.51,98.22,98.37,651872,0.78,0.47,0.49,-0.02,42.49,98.07,62.83
2023-09-27 11:15:00,98.37,98.38,98.05,98.07,443902,0.59,0.44,0.48,-0.04,42.39,98.07,57.79
2023-09-27 11:20:00,98.07,98.26,97.90,98.15,607837,0.63,0.42,0.47,-0.05,41.80,98.09,58.79
2023-09-27 11:25:00,98.16,98.26,98.00,98.20,396563,0.65,0.41,0.46,-0.05,41.26,98.11,59.37
2023-09-27 11:30:00,98.20,98.20,97.86,97.94,473121,0.48,0.37,0.44,-0.07,40.28,98.08,54.80
2023-09-27 11:35:00,97.94,97.96,97.79,97.87,351054,0.43,0.33,0.42,-0.09,39.11,98.03,53.61
2023-09-27 11:40:00,97.88,97.90,97.45,97.53,516257,0.21,0.27,0.39,-0.12,36.95,97.93,48.19
2023-09-27 11:45:00,97.54,97.63,97.35,97.61,495900,0.22,0.22,0.35,-0.13,34.65,97.87,49.46
2023-09-27 11:50:00,97.60,97.69,97.52,97.64,322029,0.20,0.18,0.32,-0.14,32.68,97.82,49.97
2023-09-27 11:55:00,97.65,97.86,97.60,97.69,412005,0.24,0.16,0.29,-0.13,31.29,97.80,50.85
2023-09-27 12:00:00,97.69,97.71,97.45,97.48,425755,0.12,0.12,0.25,-0.13,29.52,97.73,47.06
2023-09-27 12:05:00,97.47,97.62,97.36,97.39,539729,0.10,0.08,0.22,-0.14,27.59,97.66,45.55
2023-09-27 12:10:00,97.39,97.60,97.39,97.57,309605,0.24,0.06,0.19,-0.13,25.80,97.65,49.15
2023-09-27 12:15:00,97.58,97.64,97.27,97.37,453572,0.13,0.03,0.16,-0.12,24.18,97.59,45.52
2023-09-27 12:20:00,97.35,97.39,97.15,97.22,334568,0.07,-0.00,0.13,-0.13,23.04,97.52,42.95
2023-09-27 12:25:00,97.21,97.55,97.21,97.55,471576,0.33,-0.00,0.10,-0.10,21.41,97.52,49.67
2023-09-27 12:30:00,97.55,97.64,97.38,97.56,496999,0.35,-0.01,0.08,-0.08,20.17,97.53,49.86
2023-09-27 12:35:00,97.57,97.57,97.34,97.37,236485,0.23,-0.02,0.06,-0.08,18.87,97.50,46.17
2023-09-27 12:40:00,97.36,97.50,97.30,97.47,362044,0.32,-0.03,0.04,-0.07,17.53,97.49,48.40
2023-09-27 12:45:00,97.47,97.61,97.45,97.54,289273,0.39,-0.02,0.03,-0.05,16.69,97.50,49.86
2023-09-27 12:50:00,97.55,97.55,97.34,97.35,261943,0.24,-0.04,0.02,-0.05,15.54,97.47,45.89
2023-09-27 12:55:00,97.34,97.35,97.17,97.27,256163,0.20,-0.05,0.00,-0.05,15.12,97.43,44.43
2023-09-27 13:00:00,97.27,97.66,97.26,97.54,540358,0.48,-0.04,-0.01,-0.04,14.54,97.45,50.47
2023-09-27 13:05:00,97.54,97.60,97.44,97.51,409477,0.48,-0.04,-0.01,-0.02,14.01,97.46,49.90
2023-09-27 13:10:00,97.52,97.54,97.07,97.10,373215,-0.06,-0.06,-0.02,-0.04,13.82,97.39,41.86
2023-09-27 13:15:00,97.11,97.27,96.91,97.15,477486,0.04,-0.08,-0.03,-0.05,14.11,97.34,43.06
2023-09-27 13:20:00,97.15,97.16,96.82,96.91,408777,-0.14,-0.11,-0.05,-0.06,14.62,97.26,38.89
2023-09-27 13:25:00,96.90,96.95,96.76,96.79,254438,-0.13,-0.15,-0.07,-0.08,15.28,97.16,36.97
2023-09-27 13:30:00,96.79,97.00,96.76,96.95,372837,0.10,-0.16,-0.09,-0.07,15.66,97.12,41.15
2023-09-27 13:35:00,96.94,97.00,96.82,96.82,242425,0.03,-0.17,-0.10,-0.07,16.01,97.06,38.89
2023-09-27 13:40:00,96.82,96.85,96.54,96.74,515721,0.03,-0.19,-0.12,-0.07,17.14,97.00,37.53
2023-09-27 13:45:00,96.74,96.93,96.69,96.90,345260,0.21,-0.19,-0.14,-0.06,17.77,96.98,42.05
2023-09-27 13:50:00,96.90,97.09,96.81,97.08,331911,0.39,-0.17,-0.14,-0.03,17.60,97.00,46.54
2023-09-27 13:55:00,97.08,97.10,96.96,97.06,220173,0.38,-0.16,-0.15,-0.01,17.39,97.01,46.04
2023-09-27 14:00:00,97.06,97.13,96.93,97.05,297153,0.38,-0.15,-0.15,-0.00,17.20,97.02,45.86
2023-09-27 14:05:00,97.06,97.18,96.87,97.05,352313,0.40,-0.14,-0.15,0.01,17.25,97.03,45.81
2023-09-27 14:10:00,97.04,97.14,96.93,97.09,249367,0.45,-0.12,-0.14,0.02,17.29,97.04,47.03
2023-09-27 14:15:00,97.09,97.27,97.09,97.20,629421,0.57,-0.10,-0.13,0.03,16.62,97.07,50.35
2023-09-27 14:20:00,97.19,97.30,97.12,97.29,326319,0.69,-0.08,-0.12,0.04,15.81,97.12,53.06
2023-09-27 14:25:00,97.28,97.52,97.22,97.48,691581,0.90,-0.04,-0.11,0.06,15.37,97.19,57.94
2023-09-27 14:30:00,97.49,97.83,97.49,97.82,518058,1.13,0.01,-0.08,0.09,16.12,97.31,65.09
2023-09-27 14:35:00,97.81,98.33,97.81,98.30,623884,1.25,0.09,-0.05,0.14,18.06,97.51,72.22
2023-09-27 14:40:00,98.29,98.43,98.12,98.38,600560,1.14,0.16,-0.01,0.17,20.06,97.68,73.24
2023-09-27 14:45:00,98.39,98.51,98.20,98.24,508171,0.99,0.20,0.04,0.17,22.07,97.80,68.55
