datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-09-26 14:10:00,422.30,422.54,421.07,421.54,275741,0.32,-0.17,-0.16,-0.02,12.39,421.78,46.80
2023-09-26 14:15:00,421.54,422.40,421.39,421.87,268594,0.42,-0.16,-0.16,-0.00,12.23,421.80,49.10
2023-09-26 14:20:00,421.80,423.78,421.80,423.32,446788,0.80,-0.03,-0.13,0.10,12.06,422.11,57.74
2023-09-26 14:25:00,423.31,423.35,421.88,422.16,309170,0.50,-0.02,-0.11,0.09,11.91,422.12,50.37
2023-09-26 14:30:00,422.10,422.32,421.54,421.77,277452,0.42,-0.04,-0.10,0.05,11.38,422.05,48.16
2023-09-26 14:35:00,421.77,421.98,420.89,421.08,270311,0.25,-0.11,-0.10,-0.02,10.94,421.85,44.38
2023-09-26 14:40:00,421.06,421.52,420.80,421.18,268711,0.30,-0.16,-0.11,-0.05,10.62,421.72,45.08
2023-09-26 14:45:00,421.15,421.55,420.77,421.27,246956,0.34,-0.19,-0.13,-0.06,10.36,421.63,45.71
2023-09-26 14:50:00,421.28,421.64,420.32,420.40,313372,0.12,-0.28,-0.16,-0.12,10.59,421.38,40.84
2023-09-26 14:55:00,420.47,421.12,420.16,421.06,304456,0.34,-0.29,-0.19,-0.11,10.98,421.32,45.59
2023-09-26 15:00:00,421.14,421.14,419.01,419.17,444819,-0.11,-0.45,-0.24,-0.21,12.39,420.89,36.57
2023-09-26 15:05:00,419.19,419.86,419.10,419.64,352759,0.08,-0.53,-0.30,-0.24,13.69,420.64,39.74
2023-09-26 15:10:00,419.70,420.17,419.12,419.27,372972,0.06,-0.62,-0.36,-0.26,14.42,420.37,38.11
2023-09-26 15:15:00,419.29,419.41,418.34,418.87,475949,0.03,-0.71,-0.43,-0.28,15.76,420.07,36.37
2023-09-26 15:20:00,419.00,419.34,418.60,418.77,248460,0.06,-0.79,-0.50,-0.28,17.01,419.81,35.93
2023-09-26 15:25:00,418.70,419.05,418.00,418.69,409738,0.09,-0.84,-0.57,-0.27,18.63,419.58,35.56
2023-09-26 15:30:00,418.70,419.28,418.22,418.28,364421,0.08,-0.91,-0.64,-0.27,19.75,419.32,33.64
2023-09-26 15:35:00,418.27,418.58,417.60,418.20,461686,0.11,-0.96,-0.70,-0.25,21.27,419.10,33.27
2023-09-26 15:40:00,418.16,419.14,418.12,418.84,451772,0.25,-0.93,-0.75,-0.18,21.77,419.05,39.16
2023-09-26 15:45:00,418.89,419.09,418.32,418.36,316993,0.20,-0.94,-0.79,-0.15,22.24,418.91,36.55
2023-09-26 15:50:00,418.32,418.99,418.11,418.64,499335,0.27,-0.91,-0.81,-0.10,22.86,418.86,39.09
2023-09-26 15:55:00,418.72,419.38,418.40,419.12,1110336,0.37,-0.84,-0.82,-0.03,22.79,418.91,43.28
2023-09-27 09:30:00,423.30,426.05,423.01,424.99,2238101,1.24,-0.31,-0.72,0.41,24.51,420.12,70.24
2023-09-27 09:35:00,424.85,426.55,423.30,423.85,1201922,1.02,0.02,-0.57,0.59,26.27,420.87,63.89
2023-09-27 09:40:00,423.84,425.22,422.78,425.20,880877,1.08,0.38,-0.38,0.76,27.41,421.74,67.62
2023-09-27 09:45:00,425.11,426.15,424.30,424.53,862578,0.94,0.61,-0.18,0.79,28.81,422.29,64.08
2023-09-27 09:50:00,424.51,426.35,424.00,425.81,779361,1.00,0.89,0.03,0.85,29.81,423.00,67.57
2023-09-27 09:55:00,425.73,425.81,422.86,423.77,805782,0.78,0.93,0.21,0.72,29.70,423.15,57.91
2023-09-27 10:00:00,423.81,424.40,421.87,422.42,909319,0.64,0.84,0.34,0.51,28.80,423.01,52.55
