datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-09-22 12:10:00,176.37,176.51,176.30,176.40,434578,0.76,0.27,0.32,-0.05,38.03,176.26,63.78
2023-09-22 12:15:00,176.40,176.73,176.36,176.69,634098,1.10,0.29,0.31,-0.02,38.41,176.35,69.06
2023-09-22 12:20:00,176.70,176.75,176.53,176.59,484745,0.90,0.29,0.31,-0.02,38.80,176.40,65.51
2023-09-22 12:25:00,176.60,176.62,176.49,176.61,278819,0.88,0.29,0.31,-0.01,38.93,176.44,65.89
2023-09-22 12:30:00,176.62,176.79,176.57,176.63,421396,0.87,0.29,0.30,-0.01,39.45,176.48,66.39
2023-09-22 12:35:00,176.64,176.74,176.56,176.71,448146,0.92,0.29,0.30,-0.01,39.84,176.52,67.89
2023-09-22 12:40:00,176.71,176.80,176.70,176.79,352768,0.94,0.30,0.30,-0.00,40.36,176.58,69.37
2023-09-22 12:45:00,176.79,176.98,176.75,176.91,604088,0.99,0.31,0.30,0.00,41.28,176.64,71.79
2023-09-22 12:50:00,176.91,177.08,176.88,176.89,734731,0.91,0.31,0.30,0.01,42.32,176.69,70.56
2023-09-22 12:55:00,176.89,176.93,176.66,176.67,424513,0.68,0.29,0.30,-0.01,41.86,176.69,61.28
2023-09-22 13:00:00,176.67,176.73,176.51,176.55,390714,0.56,0.26,0.29,-0.03,40.57,176.66,57.02
2023-09-22 13:05:00,176.56,176.62,176.46,176.50,316935,0.50,0.23,0.28,-0.05,39.13,176.63,55.20
2023-09-22 13:10:00,176.50,176.52,176.24,176.26,449000,0.26,0.19,0.26,-0.07,36.75,176.56,47.36
2023-09-22 13:15:00,176.26,176.27,175.98,176.03,1403893,0.09,0.13,0.24,-0.10,34.76,176.45,41.41
2023-09-22 13:20:00,176.03,176.03,175.67,175.81,602121,-0.03,0.07,0.20,-0.13,33.89,176.32,36.62
2023-09-22 13:25:00,175.80,175.82,175.58,175.70,441735,-0.04,0.01,0.16,-0.15,33.33,176.20,34.51
2023-09-22 13:30:00,175.68,175.68,175.43,175.54,485620,-0.06,-0.05,0.12,-0.17,33.20,176.07,31.63
2023-09-22 13:35:00,175.53,175.65,175.24,175.34,528267,-0.07,-0.11,0.08,-0.18,33.53,175.92,28.40
2023-09-22 13:40:00,175.34,175.35,175.15,175.27,424552,-0.02,-0.16,0.03,-0.19,34.03,175.79,27.39
2023-09-22 13:45:00,175.25,175.37,175.15,175.30,449373,0.06,-0.20,-0.02,-0.18,34.39,175.69,28.60
2023-09-22 13:50:00,175.29,175.52,175.23,175.34,454344,0.13,-0.22,-0.06,-0.16,33.94,175.62,30.06
2023-09-22 13:55:00,175.34,175.53,175.29,175.32,314141,0.16,-0.24,-0.09,-0.15,33.48,175.56,29.78
2023-09-22 14:00:00,175.32,175.51,175.31,175.48,316861,0.25,-0.24,-0.12,-0.11,33.04,175.54,36.61
2023-09-22 14:05:00,175.48,175.56,175.29,175.38,267416,0.24,-0.24,-0.15,-0.09,32.35,175.51,34.34
2023-09-22 14:10:00,175.37,175.37,175.18,175.21,422557,0.20,-0.25,-0.17,-0.09,32.08,175.45,30.89
2023-09-22 14:15:00,175.21,175.32,174.96,175.04,634800,0.17,-0.28,-0.19,-0.09,32.50,175.37,27.85
2023-09-22 14:20:00,175.04,175.30,175.04,175.24,438142,0.27,-0.27,-0.21,-0.07,32.90,175.34,35.84
2023-09-22 14:25:00,175.24,175.42,175.12,175.13,371699,0.25,-0.28,-0.22,-0.06,32.49,175.30,33.63
2023-09-22 14:30:00,175.12,175.14,174.81,175.01,523126,0.21,-0.29,-0.23,-0.05,33.03,175.24,31.45
2023-09-22 14:35:00,175.01,175.18,174.94,175.02,377234,0.23,-0.29,-0.25,-0.05,33.31,175.20,31.66
2023-09-22 14:40:00,175.03,175.23,175.01,175.08,411098,0.27,-0.28,-0.25,-0.03,33.27,175.17,34.23
2023-09-22 14:45:00,175.09,175.35,175.04,175.35,315087,0.47,-0.26,-0.25,-0.00,32.53,175.21,44.37
2023-09-22 14:50:00,175.35,175.42,175.24,175.36,376422,0.51,-0.23,-0.25,0.02,31.45,175.24,44.71
2023-09-22 14:55:00,175.35,175.43,175.15,175.29,315974,0.48,-0.21,-0.24,0.03,30.79,175.25,42.77
2023-09-22 15:00:00,175.28,175.65,175.21,175.50,623057,0.79,-0.18,-0.23,0.05,29.02,175.30,49.87
2023-09-22 15:05:00,175.51,175.87,175.42,175.85,710353,1.20,-0.12,-0.21,0.08,27.47,175.41,58.93
2023-09-22 15:10:00,175.85,175.89,175.67,175.73,418647,1.00,-0.09,-0.18,0.10,26.10,175.47,55.34
2023-09-22 15:15:00,175.74,175.88,175.64,175.87,495817,1.04,-0.05,-0.16,0.11,24.68,175.55,58.53
2023-09-22 15:20:00,175.86,175.99,175.64,175.77,460584,0.89,-0.02,-0.13,0.11,23.84,175.60,55.52
2023-09-22 15:25:00,175.78,175.82,175.65,175.69,362148,0.79,-0.01,-0.11,0.10,23.05,175.61,53.05
2023-09-22 15:30:00,175.68,175.79,175.53,175.54,357096,0.64,-0.01,-0.09,0.07,21.64,175.60,48.67
2023-09-22 15:35:00,175.53,175.59,175.44,175.54,333695,0.62,-0.01,-0.07,0.06,20.32,175.59,48.53
2023-09-22 15:40:00,175.54,175.58,174.95,174.98,782093,0.15,-0.06,-0.07,0.01,20.92,175.47,35.86
2023-09-22 15:45:00,174.98,175.16,174.78,174.97,901702,0.18,-0.10,-0.08,-0.02,21.95,175.37,35.68
2023-09-22 15:50:00,174.97,174.97,174.62,174.85,1378722,0.11,-0.13,-0.09,-0.05,23.29,175.26,33.50
2023-09-22 15:55:00,174.85,175.04,174.71,174.74,2571960,0.07,-0.17,-0.10,-0.07,24.12,175.16,31.60
2023-09-25 09:30:00,174.20,175.14,174.15,174.55,2745358,0.01,-0.21,-0.12,-0.09,26.04,175.04,28.55
2023-09-25 09:35:00,174.55,174.83,174.27,174.66,791395,0.12,-0.23,-0.15,-0.09,27.82,174.96,32.62
2023-09-25 09:40:00,174.66,174.94,174.61,174.61,851698,0.13,-0.25,-0.17,-0.08,28.90,174.89,31.80
2023-09-25 09:45:00,174.63,174.85,174.40,174.74,820131,0.22,-0.25,-0.18,-0.07,30.31,174.86,36.45
