datetime,open,high,low,close,volume,previous open,open-change,open-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-09-22 12:10:00,254.12,254.29,253.66,253.82,1066381,0.0,0.0,1,0.0,0.0,1,0.02,-0.32,-0.22,-0.10,18.25,254.52,37.80
2023-09-22 12:15:00,253.84,254.28,253.41,254.24,1214741,0.0,0.0,1,0.0,0.0,1,0.22,-0.32,-0.24,-0.08,19.21,254.47,42.87
2023-09-22 12:20:00,254.24,254.57,254.15,254.28,828223,0.0,0.0,1,0.0,0.0,1,0.26,-0.32,-0.26,-0.07,19.47,254.43,43.35
2023-09-22 12:25:00,254.31,254.31,253.73,253.93,869430,0.0,0.0,1,0.0,0.0,1,0.16,-0.35,-0.27,-0.07,20.23,254.33,40.19
2023-09-22 12:30:00,253.95,254.41,253.75,254.10,854099,0.0,0.0,1,0.0,0.0,1,0.25,-0.35,-0.29,-0.06,20.72,254.28,42.35
2023-09-22 12:35:00,254.11,254.52,254.01,254.45,655764,0.0,0.0,1,0.0,0.0,1,0.40,-0.32,-0.30,-0.02,20.91,254.32,46.63
2023-09-22 12:40:00,254.46,254.66,254.21,254.40,804305,0.0,0.0,1,0.0,0.0,1,0.40,-0.29,-0.29,0.00,20.77,254.33,46.15
2023-09-22 12:45:00,254.42,254.55,253.52,253.77,780218,0.0,0.0,1,0.0,0.0,1,0.17,-0.32,-0.30,-0.02,21.58,254.22,39.96
2023-09-22 12:50:00,253.80,253.95,253.28,253.44,705642,0.0,0.0,1,0.0,0.0,1,0.09,-0.37,-0.31,-0.05,22.61,254.06,37.12
2023-09-22 12:55:00,253.42,253.74,252.94,253.05,979121,0.0,0.0,1,0.0,0.0,1,0.01,-0.43,-0.34,-0.09,23.94,253.86,34.06
2023-09-22 13:00:00,253.06,253.13,252.67,252.71,962416,254.12,-1.06,0,1066381.0,-103965.0,1,-0.01,-0.50,-0.37,-0.13,25.44,253.63,31.62
2023-09-22 13:05:00,252.71,252.82,251.43,251.59,1824481,253.84,-1.13,0,1214741.0,609740.0,1,-0.16,-0.64,-0.42,-0.22,27.79,253.22,25.20
