datetime,open,high,low,close,volume,open-trend,open-change,high-trend,high-change,low-trend,low-change,close-trend,close-change,volume-trend,volume-change,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-04 10:40:00,187.85,187.90,187.80,187.84,119927,1,,1,,1,,1,,1,,0.22,-0.32,-0.33,0.01,53.77,187.97,23.57
2023-12-04 10:41:00,187.85,187.90,187.77,187.87,128851,1,,1,,1,,1,,1,,0.25,-0.31,-0.33,0.01,54.43,187.95,25.75
2023-12-04 10:42:00,187.86,188.02,187.84,188.00,107009,1,,1,,1,,1,,1,,0.39,-0.29,-0.32,0.03,53.50,187.96,34.47
2023-12-04 10:43:00,187.99,188.14,187.98,188.10,96643,1,,1,,1,,1,,1,,0.54,-0.26,-0.31,0.05,51.37,187.99,40.29
2023-12-04 10:44:00,188.12,188.14,188.02,188.02,123641,1,,1,,1,,1,,1,,0.46,-0.24,-0.29,0.05,49.40,187.99,37.60
2023-12-04 10:45:00,188.04,188.12,187.96,188.04,68972,1,,1,,1,,1,,1,,0.50,-0.22,-0.28,0.06,47.95,188.00,38.19
2023-12-04 10:46:00,188.04,188.04,187.88,187.96,84314,1,,1,,1,,1,,1,,0.38,-0.21,-0.27,0.05,47.06,187.99,35.47
2023-12-04 10:47:00,187.96,187.99,187.88,187.91,81267,1,,1,,1,,1,,1,,0.29,-0.20,-0.25,0.05,46.26,187.98,33.74
2023-12-04 10:48:00,187.92,187.95,187.83,187.90,68267,1,,1,,1,,1,,1,,0.29,-0.20,-0.24,0.05,45.77,187.96,33.38
2023-12-04 10:49:00,187.89,187.98,187.88,187.90,119132,1,,1,,1,,1,,1,,0.32,-0.19,-0.23,0.04,44.96,187.95,33.58
2023-12-04 10:50:00,187.90,187.91,187.82,187.82,78743,1,0.05,1,0.01,1,0.02,0,-0.02,1,-41184.0,0.11,-0.19,-0.22,0.04,44.56,187.92,30.56
2023-12-04 10:51:00,187.82,187.85,187.79,187.80,91069,0,-0.03,0,-0.05,1,0.02,0,-0.07,1,-37782.0,0.10,-0.19,-0.22,0.03,44.39,187.90,29.85
2023-12-04 10:52:00,187.80,187.89,187.79,187.88,63624,0,-0.06,0,-0.13,0,-0.05,0,-0.12,1,-43385.0,0.35,-0.17,-0.21,0.03,43.63,187.90,36.53
2023-12-04 10:53:00,187.89,187.90,187.75,187.79,133331,0,-0.1,0,-0.24,0,-0.23,0,-0.31,0,36688.0,0.10,-0.17,-0.20,0.03,43.18,187.88,32.77
2023-12-04 10:54:00,187.79,187.83,187.76,187.82,75521,0,-0.33,0,-0.31,0,-0.26,0,-0.2,1,-48120.0,0.22,-0.17,-0.19,0.03,42.76,187.86,35.05
2023-12-04 10:55:00,187.81,188.00,187.80,187.94,98957,0,-0.23,0,-0.12,0,-0.16,0,-0.1,1,29985.0,0.57,-0.15,-0.18,0.04,40.34,187.88,43.30
2023-12-04 10:56:00,187.95,187.97,187.91,187.96,66805,0,-0.09,0,-0.07,1,0.03,0,0.0,0,-17509.0,0.65,-0.13,-0.17,0.04,38.09,187.90,44.87
2023-12-04 10:57:00,187.97,188.05,187.96,188.04,81837,1,0.01,1,0.06,1,0.08,1,0.13,1,570.0,0.87,-0.11,-0.16,0.05,35.57,187.93,49.67
2023-12-04 10:58:00,188.04,188.09,188.03,188.09,73051,1,0.12,1,0.14,1,0.2,1,0.19,1,4784.0,0.93,-0.09,-0.15,0.06,33.54,187.96,52.20
2023-12-04 10:59:00,188.10,188.11,188.02,188.03,124987,1,0.21,1,0.13,1,0.14,1,0.13,1,5855.0,0.75,-0.08,-0.13,0.06,31.84,187.97,48.69
2023-12-04 11:00:00,188.02,188.02,187.94,187.99,113097,1,0.12,1,0.11,1,0.12,1,0.17,0,34354.0,0.62,-0.07,-0.12,0.05,29.69,187.98,46.45
2023-12-04 11:01:00,187.98,187.98,187.85,187.88,90547,1,0.16,1,0.13,1,0.06,1,0.08,0,-522.0,0.33,-0.07,-0.11,0.04,28.53,187.96,40.89
2023-12-04 11:02:00,187.88,187.90,187.65,187.66,129597,1,0.08,1,0.01,0,-0.14,0,-0.22,0,65973.0,-0.11,-0.09,-0.11,0.02,28.73,187.90,32.49
2023-12-04 11:03:00,187.66,187.71,187.61,187.63,96103,0,-0.23,0,-0.19,0,-0.14,0,-0.16,1,-37228.0,-0.07,-0.11,-0.11,0.00,29.12,187.84,31.54
2023-12-04 11:04:00,187.62,187.81,187.62,187.74,89391,0,-0.17,0,-0.02,0,-0.14,0,-0.08,1,13870.0,0.19,-0.11,-0.11,-0.00,28.47,187.82,38.34
2023-12-04 11:05:00,187.73,187.85,187.70,187.84,65815,0,-0.08,0,-0.15,0,-0.1,0,-0.1,0,-33142.0,0.42,-0.10,-0.11,0.00,27.50,187.83,44.30
2023-12-04 11:06:00,187.83,187.84,187.76,187.83,70918,0,-0.12,0,-0.13,0,-0.15,0,-0.13,1,4113.0,0.41,-0.09,-0.10,0.01,26.60,187.83,43.86
2023-12-04 11:07:00,187.82,187.82,187.72,187.72,49292,0,-0.15,0,-0.23,0,-0.24,0,-0.32,0,-32545.0,0.20,-0.10,-0.10,0.00,26.05,187.81,39.29
2023-12-04 11:08:00,187.71,187.73,187.65,187.66,64192,0,-0.33,0,-0.36,0,-0.38,0,-0.43,0,-8859.0,0.13,-0.10,-0.10,-0.00,26.06,187.78,37.03
2023-12-04 11:09:00,187.66,187.67,187.53,187.54,102109,0,-0.44,0,-0.44,0,-0.49,0,-0.49,0,-22878.0,0.00,-0.12,-0.10,-0.01,26.73,187.73,33.09
2023-12-04 11:10:00,187.54,187.63,187.52,187.57,96412,0,-0.48,0,-0.39,0,-0.42,0,-0.42,1,-16685.0,0.10,-0.12,-0.11,-0.01,27.41,187.70,34.72
2023-12-04 11:11:00,187.57,187.62,187.45,187.62,121913,0,-0.41,0,-0.36,0,-0.4,0,-0.26,0,31366.0,0.20,-0.12,-0.11,-0.01,28.41,187.68,37.96
2023-12-04 11:12:00,187.62,187.74,187.53,187.54,95644,0,-0.26,0,-0.16,0,-0.12,0,-0.12,1,-33953.0,0.13,-0.13,-0.11,-0.01,28.02,187.65,34.97
2023-12-04 11:13:00,187.54,187.66,187.52,187.65,65010,0,-0.12,0,-0.05,0,-0.09,1,0.02,0,-31093.0,0.30,-0.12,-0.12,-0.00,27.71,187.65,41.77
2023-12-04 11:14:00,187.65,187.71,187.56,187.65,63334,1,0.03,0,-0.1,0,-0.06,0,-0.09,0,-26057.0,0.31,-0.11,-0.12,0.00,26.91,187.65,41.56
2023-12-04 11:15:00,187.65,187.75,187.64,187.73,64047,0,-0.08,0,-0.1,0,-0.06,0,-0.11,0,-1768.0,0.44,-0.10,-0.11,0.01,25.76,187.67,46.28
2023-12-04 11:16:00,187.73,187.86,187.70,187.80,218067,0,-0.1,1,0.02,0,-0.06,0,-0.03,0,147149.0,0.57,-0.08,-0.11,0.02,24.14,187.69,50.57
2023-12-04 11:17:00,187.80,187.85,187.74,187.82,206095,0,-0.02,1,0.03,1,0.02,1,0.1,0,156803.0,0.61,-0.07,-0.10,0.03,22.63,187.72,51.35
2023-12-04 11:18:00,187.82,187.82,187.76,187.80,61270,1,0.11,1,0.09,1,0.11,1,0.14,0,-2922.0,0.62,-0.06,-0.09,0.03,21.23,187.74,50.21
2023-12-04 11:19:00,187.80,187.88,187.80,187.80,87133,1,0.14,1,0.21,1,0.27,1,0.26,1,-14976.0,0.66,-0.05,-0.08,0.03,20.41,187.75,50.21
2023-12-04 11:20:00,187.80,187.86,187.76,187.82,170536,1,0.26,1,0.23,1,0.24,1,0.25,0,74124.0,0.75,-0.04,-0.07,0.04,19.23,187.76,51.47
2023-12-04 11:21:00,187.82,187.82,187.71,187.76,130146,1,0.25,1,0.2,1,0.26,1,0.14,1,8233.0,0.63,-0.03,-0.07,0.03,18.08,187.76,47.60
2023-12-04 11:22:00,187.76,187.76,187.70,187.71,60569,1,0.14,1,0.02,1,0.17,1,0.17,0,-35075.0,0.50,-0.04,-0.06,0.02,17.11,187.75,44.57
