datetime,open,high,low,close,volume,open-trend,open-change,high-trend,high-change,low-trend,low-change,close-trend,close-change,volume-trend,volume-change,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2021-02-16 11:30:00,366.81,367.38,361.65,366.79,26409,1,,1,,1,,1,,1,,0.14,-0.58,1.08,-1.66,19.46,370.25,39.47
2021-02-16 12:30:00,367.55,367.55,364.92,366.08,10882,1,,1,,1,,1,,1,,0.14,-0.94,0.68,-1.62,20.30,369.42,38.28
2021-02-16 13:30:00,366.27,367.94,366.27,367.35,15825,1,,1,,1,,1,,1,,0.21,-1.11,0.32,-1.43,20.95,369.00,41.67
2021-02-16 14:30:00,367.85,369.11,366.88,369.11,15516,1,,1,,1,,1,,1,,0.29,-1.09,0.04,-1.13,21.11,369.02,46.09
2021-02-16 15:30:00,369.68,371.83,366.00,370.87,48876,1,,1,,1,,1,,1,,0.39,-0.93,-0.16,-0.77,20.34,369.39,50.16
2021-02-17 09:30:00,367.00,367.16,362.14,365.27,43550,1,,1,,1,,1,,1,,0.15,-1.23,-0.37,-0.86,20.51,368.57,39.86
2021-02-17 10:30:00,364.54,365.36,361.11,363.04,42940,1,,1,,1,,1,,1,,0.09,-1.63,-0.62,-1.01,20.88,367.46,36.63
2021-02-17 11:30:00,363.59,365.92,362.95,363.77,105573,1,,1,,1,,1,,1,,0.16,-1.87,-0.87,-1.00,21.03,366.72,38.38
2021-02-17 12:30:00,364.22,364.82,363.36,364.59,5332,1,,1,,1,,1,,1,,0.23,-1.97,-1.09,-0.88,21.17,366.30,40.39
2021-02-17 13:30:00,364.64,366.80,364.20,366.14,9253,1,,1,,1,,1,,1,,0.32,-1.90,-1.25,-0.65,20.57,366.27,44.10
2021-02-17 14:30:00,365.70,368.92,365.41,368.92,11957,0,-1.11,1,1.54,1,3.76,1,2.13,0,-14452.0,0.50,-1.61,-1.32,-0.28,19.32,366.80,50.08
2021-02-17 15:30:00,369.40,371.52,368.93,370.65,35583,1,1.85,1,3.97,1,4.01,1,4.57,1,24701.0,0.66,-1.22,-1.30,0.09,18.48,367.57,53.40
2021-02-18 09:30:00,363.91,366.61,358.41,358.90,32160,0,-2.36,0,-1.33,0,-7.86,0,-8.45,1,16335.0,-0.13,-1.84,-1.41,-0.43,19.00,365.83,35.86
2021-02-18 10:30:00,358.43,363.26,358.20,362.66,20412,0,-9.42,0,-5.85,0,-8.68,0,-6.45,1,4896.0,0.16,-2.00,-1.53,-0.47,19.51,365.20,42.38
2021-02-18 11:30:00,362.07,364.86,362.07,364.86,9682,0,-7.61,0,-6.97,0,-3.93,0,-6.01,1,-39194.0,0.35,-1.93,-1.61,-0.32,19.53,365.13,45.85
2021-02-18 12:30:00,364.92,366.04,364.24,365.26,2479,0,-2.08,0,-1.12,1,2.1,0,-0.01,0,-41071.0,0.40,-1.82,-1.65,-0.17,19.21,365.16,46.48
2021-02-18 13:30:00,365.05,367.59,364.64,367.18,1589,1,0.51,1,2.23,1,3.53,1,4.14,0,-41351.0,0.57,-1.56,-1.63,0.07,18.48,365.56,49.53
2021-02-18 14:30:00,367.15,368.57,366.88,368.41,1487,1,3.56,1,2.65,1,3.93,1,4.64,1,-104086.0,0.68,-1.24,-1.56,0.31,17.53,366.13,51.43
2021-02-18 15:30:00,367.39,367.93,364.36,365.74,11214,1,3.17,1,3.11,1,1.0,1,1.15,0,5882.0,0.47,-1.19,-1.48,0.29,17.24,366.05,47.26
2021-02-19 09:30:00,366.05,369.06,364.48,367.87,23185,1,1.41,1,2.26,1,0.28,1,1.73,0,13932.0,0.65,-0.97,-1.38,0.41,16.65,366.42,50.69
2021-02-19 10:30:00,368.22,369.29,366.67,367.22,23326,1,2.52,1,0.37,1,1.26,0,-1.7,1,11369.0,0.59,-0.84,-1.27,0.44,16.03,366.58,49.63
2021-02-19 11:30:00,367.12,370.54,366.44,370.41,19517,0,-2.28,0,-0.98,0,-2.49,0,-0.24,0,-16066.0,0.84,-0.47,-1.11,0.64,15.08,367.34,54.65
2021-02-19 12:30:00,370.40,370.71,369.10,369.93,6988,1,6.49,1,4.1,1,10.69,1,11.03,1,-25172.0,0.78,-0.21,-0.93,0.72,14.14,367.86,53.78
2021-02-19 13:30:00,370.48,372.84,370.48,372.39,7563,1,12.05,1,9.58,1,12.28,1,9.73,1,-12849.0,0.94,0.19,-0.71,0.90,13.63,368.77,57.51
2021-02-19 14:30:00,371.65,372.42,368.51,368.51,9240,1,9.58,1,7.56,1,6.44,1,3.65,0,-442.0,0.65,0.19,-0.53,0.72,12.77,368.72,50.58
2021-02-19 15:30:00,368.23,371.18,368.23,369.96,20658,1,3.31,1,5.14,1,3.99,1,4.7,0,18179.0,0.74,0.31,-0.36,0.67,12.05,368.96,52.87
2021-02-22 09:30:00,367.19,367.35,364.02,366.37,42143,1,2.14,0,-0.24,0,-0.62,0,-0.81,1,40554.0,0.45,0.11,-0.27,0.37,12.53,368.45,47.06
2021-02-22 10:30:00,366.50,366.50,360.22,360.60,21176,0,-0.65,0,-2.07,0,-6.66,0,-7.81,1,19689.0,0.03,-0.51,-0.32,-0.20,13.77,366.88,39.55
2021-02-22 11:30:00,360.63,361.26,360.33,360.33,0,0,-6.76,0,-6.67,0,-4.03,0,-5.41,0,-11214.0,0.06,-1.01,-0.46,-0.56,14.93,365.57,39.23
2021-02-22 12:30:00,360.29,360.55,358.85,358.85,4474,0,-5.76,0,-8.51,0,-5.63,0,-9.02,1,-18711.0,0.03,-1.51,-0.67,-0.84,16.29,364.22,37.47
2021-02-22 13:30:00,358.69,359.42,357.23,357.86,5904,0,-9.53,0,-9.87,0,-9.44,0,-9.36,1,-17422.0,0.05,-1.96,-0.93,-1.04,17.87,362.95,36.29
2021-02-22 14:30:00,357.35,357.35,355.29,355.90,7874,0,-9.77,0,-13.19,0,-11.15,0,-14.51,1,-11643.0,0.01,-2.45,-1.23,-1.22,19.66,361.54,34.02
2021-02-22 15:30:00,355.16,357.19,354.41,355.35,22060,0,-15.24,0,-13.52,0,-14.69,0,-14.58,0,15072.0,0.02,-2.85,-1.56,-1.30,21.48,360.30,33.38
2021-02-23 09:30:00,346.95,347.59,339.24,344.67,55774,0,-23.53,0,-25.25,0,-31.24,0,-27.72,0,48211.0,-0.23,-3.98,-2.04,-1.94,24.74,357.18,24.03
2021-02-23 10:30:00,344.70,348.59,344.50,347.09,38357,0,-26.95,0,-23.83,0,-24.01,0,-21.42,0,29117.0,-0.03,-4.63,-2.56,-2.07,27.44,355.16,28.90
2021-02-23 11:30:00,347.09,347.92,345.02,346.06,17121,0,-21.14,0,-23.26,0,-23.21,0,-23.9,0,-3537.0,0.02,-5.17,-3.08,-2.09,29.95,353.34,28.07
2021-02-23 12:30:00,346.87,348.32,345.16,346.85,9008,0,-20.32,0,-19.03,0,-18.86,0,-19.52,1,-33135.0,0.10,-5.47,-3.56,-1.91,32.13,352.04,29.73
2021-02-23 13:30:00,346.86,347.21,344.76,344.91,11913,0,-19.64,0,-19.29,0,-15.46,0,-15.69,0,-9263.0,0.10,-5.79,-4.00,-1.79,34.19,350.61,28.02
2021-02-23 14:30:00,345.38,348.59,345.38,347.66,17755,0,-15.25,0,-12.67,0,-14.95,0,-12.67,1,17755.0,0.21,-5.76,-4.36,-1.41,35.56,350.02,33.81
2021-02-23 15:30:00,347.62,347.62,344.78,345.57,43912,0,-12.67,0,-12.93,0,-14.07,0,-13.28,0,39438.0,0.19,-5.84,-4.65,-1.19,36.90,349.13,31.72
2021-02-24 09:30:00,342.29,344.01,338.93,340.64,25654,0,-16.4,0,-15.41,0,-18.3,0,-17.22,0,19750.0,0.11,-6.23,-4.97,-1.26,38.76,347.44,27.42
2021-02-24 10:30:00,340.02,344.74,338.48,343.53,9270,0,-17.33,0,-12.61,0,-16.81,0,-12.37,1,1396.0,0.21,-6.23,-5.22,-1.01,40.20,346.65,33.14
2021-02-24 11:30:00,343.67,344.24,338.79,339.39,10762,0,-11.49,0,-12.95,0,-15.62,0,-15.96,0,-11298.0,0.15,-6.49,-5.48,-1.02,41.53,345.20,29.54
2021-02-24 12:30:00,338.94,338.94,334.22,335.78,15665,0,-8.01,0,-8.65,0,-5.02,0,-8.89,0,-40109.0,0.09,-6.91,-5.76,-1.15,43.21,343.32,26.81
2021-02-24 13:30:00,336.40,337.30,334.52,334.71,4654,0,-8.3,0,-11.29,0,-9.98,0,-12.38,1,-33703.0,0.10,-7.25,-6.06,-1.19,44.78,341.60,26.04
2021-02-24 14:30:00,335.89,338.48,335.59,336.87,52642,0,-11.2,0,-9.44,0,-9.43,0,-9.19,1,35521.0,0.18,-7.25,-6.30,-0.95,45.72,340.65,30.38
2021-02-24 15:30:00,336.44,337.51,336.18,336.89,25074,0,-10.43,0,-10.81,0,-8.98,0,-9.96,0,16066.0,0.20,-7.17,-6.47,-0.70,46.59,339.90,30.42
2021-02-25 09:30:00,339.81,342.24,335.23,338.46,36330,0,-7.05,0,-4.97,0,-9.53,0,-6.45,1,24417.0,0.26,-6.91,-6.56,-0.35,45.51,339.61,33.70
2021-02-25 10:30:00,337.94,342.04,335.00,341.76,32876,0,-7.44,0,-6.55,0,-10.38,0,-5.9,1,15121.0,0.39,-6.35,-6.52,0.17,44.55,340.04,40.09
2021-02-25 11:30:00,341.70,341.93,337.74,337.85,31022,0,-5.92,0,-5.69,0,-7.04,0,-7.72,0,-12890.0,0.27,-6.16,-6.45,0.29,43.66,339.60,35.70
2021-02-25 12:30:00,337.35,337.35,333.50,334.97,14648,0,-4.94,0,-6.66,0,-5.43,0,-5.67,0,-11006.0,0.18,-6.17,-6.39,0.22,43.60,338.68,32.85
2021-02-25 13:30:00,334.79,339.80,334.00,339.54,17734,0,-5.23,0,-4.94,0,-4.48,0,-3.99,0,8464.0,0.39,-5.74,-6.26,0.52,42.63,338.85,40.92
2021-02-25 14:30:00,339.59,339.59,337.71,337.77,9737,0,-4.08,0,-4.65,0,-1.08,0,-1.62,1,-1025.0,0.31,-5.48,-6.11,0.62,41.73,338.63,38.96
2021-02-25 15:30:00,337.32,340.40,337.32,339.47,26639,0,-1.62,1,1.46,1,3.1,1,3.69,1,10974.0,0.42,-5.08,-5.90,0.82,40.59,338.80,41.83
