datetime,open,high,low,close,volume,open-trend,open-change,high-trend,high-change,low-trend,low-change,close-trend,close-change,volume-trend,volume-change,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-04 10:40:00,235.40,235.84,235.36,235.64,413183,1,,1,,1,,1,,1,,0.50,-0.44,-0.50,0.06,25.86,235.37,45.50
2023-12-04 10:41:00,235.64,235.70,235.28,235.41,256584,1,,1,,1,,1,,1,,0.41,-0.41,-0.48,0.08,24.70,235.38,42.07
2023-12-04 10:42:00,235.39,235.44,235.07,235.15,263342,1,,1,,1,,1,,1,,0.29,-0.40,-0.46,0.07,24.07,235.33,38.68
2023-12-04 10:43:00,235.14,235.34,234.90,235.24,301437,1,,1,,1,,1,,1,,0.36,-0.38,-0.45,0.07,23.83,235.31,40.47
2023-12-04 10:44:00,235.20,235.37,235.02,235.12,218101,1,,1,,1,,1,,1,,0.31,-0.37,-0.43,0.06,23.52,235.28,38.81
2023-12-04 10:45:00,235.09,235.22,234.61,234.95,341913,1,,1,,1,,1,,1,,0.24,-0.37,-0.42,0.05,24.02,235.21,36.51
2023-12-04 10:46:00,234.95,235.00,234.61,234.69,233690,1,,1,,1,,1,,1,,0.12,-0.39,-0.41,0.02,24.48,235.11,33.27
2023-12-04 10:47:00,234.70,234.86,234.50,234.68,349974,1,,1,,1,,1,,1,,0.14,-0.40,-0.41,0.01,25.12,235.02,33.15
2023-12-04 10:48:00,234.68,235.02,234.44,234.97,350944,1,,1,,1,,1,,1,,0.34,-0.38,-0.41,0.02,25.11,235.01,40.01
2023-12-04 10:49:00,234.99,235.06,234.78,234.97,185050,1,,1,,1,,1,,1,,0.36,-0.36,-0.40,0.03,24.97,235.00,40.01
2023-12-04 10:50:00,235.00,235.00,234.50,234.51,330940,0,-0.4,0,-0.84,0,-0.86,0,-1.13,0,-82243.0,0.07,-0.38,-0.39,0.01,25.43,234.90,33.65
2023-12-04 10:51:00,234.50,234.89,234.35,234.83,389369,0,-1.14,0,-0.81,0,-0.93,0,-0.58,1,132785.0,0.33,-0.36,-0.39,0.02,26.14,234.89,40.79
2023-12-04 10:52:00,234.88,235.07,234.65,234.94,279527,0,-0.51,0,-0.37,0,-0.42,0,-0.21,1,16185.0,0.43,-0.34,-0.38,0.04,26.12,234.90,42.95
2023-12-04 10:53:00,234.92,234.92,234.35,234.57,314811,0,-0.22,0,-0.42,0,-0.55,0,-0.67,1,13374.0,0.14,-0.34,-0.37,0.03,26.69,234.83,37.77
2023-12-04 10:54:00,234.53,234.55,234.01,234.10,458514,0,-0.67,0,-0.82,0,-1.01,0,-1.02,1,240413.0,-0.12,-0.38,-0.37,-0.01,27.79,234.69,32.42
2023-12-04 10:55:00,234.09,234.35,234.00,234.24,522305,0,-1.0,0,-0.87,0,-0.61,0,-0.71,1,180392.0,0.04,-0.40,-0.38,-0.02,28.82,234.60,35.36
2023-12-04 10:56:00,234.27,234.68,234.21,234.46,301746,0,-0.68,0,-0.32,0,-0.4,0,-0.23,1,68056.0,0.22,-0.39,-0.38,-0.01,28.58,234.57,39.86
2023-12-04 10:57:00,234.48,234.52,234.10,234.13,186880,0,-0.22,0,-0.34,0,-0.4,0,-0.55,0,-163094.0,0.07,-0.40,-0.38,-0.01,28.57,234.48,35.90
2023-12-04 10:58:00,234.10,234.11,233.75,233.80,528928,0,-0.58,0,-0.91,0,-0.69,0,-1.17,1,177984.0,-0.02,-0.43,-0.39,-0.04,29.19,234.35,32.38
2023-12-04 10:59:00,233.83,233.94,233.70,233.72,383131,0,-1.16,0,-1.12,0,-1.08,0,-1.25,1,198081.0,0.01,-0.46,-0.41,-0.05,29.85,234.22,31.58
2023-12-04 11:00:00,233.70,233.81,233.50,233.52,518270,0,-1.3,0,-1.19,0,-1.0,0,-0.99,1,187330.0,-0.02,-0.49,-0.42,-0.07,30.79,234.08,29.66
2023-12-04 11:01:00,233.53,233.66,233.40,233.47,351672,0,-0.97,0,-1.23,0,-0.95,0,-1.36,0,-37697.0,0.02,-0.51,-0.44,-0.07,31.81,233.96,29.12
2023-12-04 11:02:00,233.45,233.84,233.40,233.42,329651,0,-1.43,0,-1.23,0,-1.25,0,-1.52,1,50124.0,0.06,-0.53,-0.46,-0.07,32.05,233.85,28.61
2023-12-04 11:03:00,233.43,233.64,233.29,233.40,311086,0,-1.49,0,-1.28,0,-1.06,0,-1.17,0,-3725.0,0.10,-0.54,-0.47,-0.06,32.47,233.76,28.40
2023-12-04 11:04:00,233.40,233.84,233.31,233.76,400984,0,-1.13,0,-0.71,0,-0.7,0,-0.34,0,-57530.0,0.28,-0.51,-0.48,-0.03,32.09,233.76,37.44
2023-12-04 11:05:00,233.75,234.19,233.67,234.14,415515,0,-0.34,0,-0.16,0,-0.33,0,-0.1,0,-106790.0,0.46,-0.45,-0.48,0.02,30.56,233.84,45.26
2023-12-04 11:06:00,234.15,234.30,233.93,234.19,331029,0,-0.12,0,-0.38,0,-0.28,0,-0.27,1,29283.0,0.50,-0.40,-0.46,0.06,28.81,233.91,46.31
2023-12-04 11:07:00,234.21,234.72,234.14,234.66,383193,0,-0.27,1,0.2,1,0.04,1,0.53,1,196313.0,0.72,-0.31,-0.43,0.12,27.42,234.06,54.32
2023-12-04 11:08:00,234.64,234.92,234.62,234.62,389787,1,0.54,1,0.81,1,0.87,1,0.82,0,-139141.0,0.72,-0.24,-0.39,0.15,26.59,234.17,53.58
2023-12-04 11:09:00,234.64,234.95,234.59,234.82,246614,1,0.81,1,1.01,1,0.89,1,1.1,0,-136517.0,0.83,-0.17,-0.35,0.18,25.82,234.30,56.74
2023-12-04 11:10:00,234.87,234.95,234.69,234.87,231233,1,1.17,1,1.14,1,1.19,1,1.35,0,-287037.0,0.84,-0.11,-0.30,0.19,25.10,234.41,57.52
2023-12-04 11:11:00,234.89,234.91,234.66,234.83,207087,1,1.36,1,1.25,1,1.26,1,1.36,0,-144585.0,0.82,-0.07,-0.25,0.19,24.33,234.50,56.64
2023-12-04 11:12:00,234.84,235.04,234.71,234.78,253295,1,1.39,1,1.2,1,1.31,1,1.36,0,-76356.0,0.80,-0.03,-0.21,0.18,23.95,234.55,55.49
2023-12-04 11:13:00,234.78,235.29,234.68,235.28,337182,1,1.35,1,1.65,1,1.39,1,1.88,1,26096.0,0.99,0.03,-0.16,0.20,24.21,234.70,63.44
